#,تیم,امتياز,بازی,برد,باخت,Mar-00,1-Mar,2-Mar,0-3,3-Jan,3-Feb,برده,باخته,معدل,برده,باخته,معدل
1,فولاد سیرجان,23,8,8,0,6,1,1,0,0,0,24,3,8,661,539,1.226
2,شهداب یزد,22,8,7,1,3,4,0,0,0,1,23,7,3.286,727,637,1.141
3,سپاهان,18,8,6,2,3,2,1,1,0,1,20,10,2,694,653,1.063
4,چادرملو اردکان,17,8,6,2,3,2,1,1,1,0,19,10,1.9,672,622,1.08
5,شهرداری ارومیه,15,8,5,3,3,2,0,2,1,0,16,11,1.455,629,602,1.045
6,پیکان تهران,15,8,5,3,2,3,0,2,1,0,16,12,1.333,647,636,1.017
7,صنعتگران امید,13,8,4,4,4,0,0,1,2,1,16,12,1.333,644,637,1.011
8,مهرگان نور,9,8,3,5,1,1,1,4,0,1,11,18,0.611,629,662,0.95
9,طبیعت,8,8,3,5,1,0,2,3,1,1,12,19,0.632,651,699,0.931
10,پاس گرگان,9,8,2,6,1,1,0,2,1,3,13,19,0.684,692,699,0.99
11,رازین پلیمر,7,8,2,6,1,0,1,2,2,2,12,20,0.6,678,724,0.936
12,سایپا,5,8,2,6,0,1,1,3,3,0,9,21,0.429,670,732,0.915
13,استقلال گنبد,5,8,2,6,0,1,1,4,2,0,8,21,0.381,645,716,0.901
14,مس رفسنجان,2,8,1,7,0,0,1,3,4,0,7,23,0.304,639,720,0.888
